"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"177","1745a",1,1.45864765222352,2,NA,NA,NA,NA,0.648130918994627,NA,1.10023418790819,NA,0,0,1,1,3,2,0,20,0,10
"178","1745b",8,NA,NA,1.30627965442864,NA,NA,1.60720986797999,1,NA,1.72014274327134,NA,2,1,0,1,7,0,0,1,0,1
"179","1747",2,NA,NA,2,1.22633474123639,1.53507578551374,1.2304145881014,NA,NA,NA,0.359166783806477,1,3,0,0,0,0,1,1,1,0
"180","174a",4,NA,NA,NA,1.47253407579763,2.80341368475947,NA,1,NA,NA,NA,3,2,2,0,0,4,0,1,4,2
"181","174b",0,2,NA,NA,NA,NA,1.31592855025304,0.88547604596288,NA,NA,NA,0,5,2,5,5,0,0,2,9,1
"182","1750",4,NA,NA,0.0481773919309853,1.29810443529508,2.9012801189005,NA,NA,NA,NA,NA,1,2,0,0,0,2,1,4,2,2
"183","1755",1,NA,2.17445718590213,NA,NA,1.67034383832896,NA,1.44711506060307,1.49011882155921,1.29139974243871,NA,11,0,4,1,0,2,0,0,0,1
"184","1757",4,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,2,1,1,0,0,1,5,2,1
"185","175a",6,NA,NA,1.63443506082729,NA,1.07061918460813,NA,2,NA,NA,NA,11,1,0,2,0,3,0,4,6,3
"186","175b",0,1.64336971739864,0.801462019444531,1.28824580777482,1.51136177714677,NA,NA,NA,1.43009381669161,1.08308030644093,1.11794580679403,0,0,0,0,1,2,1,0,0,0
"187","175c",9,1.96744999943002,1.26411386806858,1.2667300076958,NA,NA,1.92602780269382,2.22623296552003,NA,NA,2.55158629349932,1,1,1,4,5,1,1,2,8,1
"188","1766",8,1.22277106382021,1.55522379470277,1.04494962857869,1.22022018951038,NA,NA,NA,1.71184955699126,1.85179780052195,NA,0,0,0,0,5,1,10,0,0,1
"189","1768",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,7,1,0,8,2,2,8,4,2
